1,Casillas,100,800.0,80000.0,16000.0,4000.0,60000.0
2,Varane,120,1000.0,120000.0,24000.0,6000.0,90000.0
1,Casillas,100,800.0,80000.0,16000.0,4000.0,60000.0
23,Isco,100,800.0,80000.0,16000.0,4000.0,60000.0
11,Bale,100,800.0,80000.0,16000.0,4000.0,60000.0
7,Cristiano Ronaldo,200,700.5,140100.0,28020.0,7005.0,105075.0
3,Pepe,50,500.6,25030.0,5006.0,1251.5,18772.5
14,Xabi Alonso,100,800.0,80000.0,16000.0,4000.0,60000.0
2,Varane,50,700.5,35025.0,7005.0,1751.25,26268.75
19,Luka Modric,100,800.0,80000.0,16000.0,4000.0,60000.0
1,Casillas,120,500.6,60072.0,12014.4,3003.6,45054.0
9,Benzema,150,1500.0,225000.0,45000.0,11250.0,168750.0
33,Coentrao,100,800.0,80000.0,16000.0,4000.0,60000.0
1,Casillas,100,800.0,80000.0,16000.0,4000.0,60000.0
2,Varane,120,700.5,84060.0,16812.0,4203.0,63045.0
1,Casillas,100,800.0,80000.0,16000.0,4000.0,60000.0
3,Pepe,150,500.6,75090.0,15018.0,3754.5,56317.5
4,Sergio Ramos,150,1500.0,225000.0,45000.0,11250.0,168750.0
5,Essien,150,700.5,105075.0,21015.0,5253.75,78806.25
6,Kedhira,50,1000.0,50000.0,10000.0,2500.0,37500.0
7,Cristiano Ronaldo,200,800.0,160000.0,32000.0,8000.0,120000.0
8,Kaka,50,500.6,25030.0,5006.0,1251.5,18772.5
9,Benzema,100,800.0,80000.0,16000.0,4000.0,60000.0
10,Mesut Ozil,50,500.6,25030.0,5006.0,1251.5,18772.5
11,Gareth Bale,100,800.0,80000.0,16000.0,4000.0,60000.0
1,Casillas,120,700.5,84060.0,16812.0,4203.0,63045.0
2,Varane,120,500.6,60072.0,12014.4,3003.6,45054.0
9,leo,150,1000.0,150000.0,30000.0,7500.0,112500.0
9,leo,100,800.0,80000.0,16000.0,4000.0,60000.0
10,James,100,800.0,80000.0,16000.0,4000.0,60000.0
,,100,800.0,80000.0,16000.0,4000.0,60000.0
7,Diego,100,1500.0,150000.0,30000.0,7500.0,112500.0
10,Raul,100,800.0,80000.0,16000.0,4000.0,60000.0
